"paper","authors","title","position","contribution ID"
"THP046","H.K. Avetissian, G.F. Mkrtchian","Free Electron Nano-Laser in Graphene Nanostructures",,2121
"THP047","A.Y. Molodozhentsev, J.T. Green, J. Hawke, M. Kaur, D. Kocon, G. Korn, K.O. Kruchinin, A.R. Maier","Laser-Driven Compact Free Electron Laser Development at ELI-Beamlines",680,1923
"THP048","M.-E. Couprie, T. Andre, F. Blache, F. Bouvet, F. Briquez, Y. Dietrich, J.P. Duval, M. El Ajjouri, A. Ghaith, C. Herbeaux, N. Hubert, M. Khojoyan, C.A. Kitegi, M. Labat, N. Leclercq, A. Lestrade, A. Loulergue, O. Marcouillé, F. Marteau, D. Oumbarek Espinos, P. Rommeluere, M. Sebdaoui, K. Tavakoli, M. Valléau, C. Benabderrahmane, S. Corde, J. Gautier, J.-P. Goddet, O. S. Kononenko, G. Lambert, K. Ta Phuoc, A. Tafzi, C. Thaury, S. Bielawski, C. Evain, E. Roussel, C. Szwaj, I.A. Andriyash, V. Malka, S. Smartzev","Progress Towards Laser Plasma Electron Based Free Electron Laser on COXINEL",684,2148
"THP049","F. Lemery, M. Dohlus, K. Floettmann, M. Marx, M. Ivanyan, V.M. Tsakanov","A Versatile THz Source for High-Repetition Rate XFELs",688,2171
"THP051","S. Serkez, G. Geloni, Yu. Shvyd'ko, M.H. Cho, I.H. Nam, H.-S. Kang, G. Kim, C.-K. Min, J.H. Ko, C.H. Shim, F.-J. Decker","Generating Trains of Attosecond Pulses with a Free-Electron Laser",692,2029
"THP052","M.G. Gerasimov, E. Dyunin, A. Friedman","Development of an Artificial Intelligence System for the Design of an Optical Mode Converter",695,2346
"THP054","Q.H. Zhou","Nanosecond Pulse Enhancement in Narrow Linewidth Cavity for Steady-State Microbunching",697,2145
"THP055","Z. Pan, X.J. Deng, W.-H. Huang, T. Rui, C.-X. Tang, Y. Zhang, A. Chao, W. Wan","A Storage Ring Design for Steady-State Microbunching to Generate Coherent EUV Light Source",700,1241
"THP056","W. Liu","Tunable Terahertz Radiation Excited by Electron Beam in Sub-Wavelength Hole Array With Dielectric",,1901
"THP059","C.H. Shim, Y.W. Parc, D.E. Kim","Optimization of Isolated Terawatt Attosecond X-Ray FEL Pulse Generation",,1941
"THP060","A.V. Savilov, E.D. Abubakirov, N.S. Ginzburg, S.V. Kuzikov, N.Yu. Peskov, A.A. Vikharev, V.Yu. Zaslavsky","Development of RF-Undulators and Powering Sources for Compact Efficient Compton FEL-Scattrons",704,2241
"THP061","J. Kirschner, A. Krause, M. Mutny, M. Nonnenmacher, A. Adelmann, N. Hiller, R. Ischebeck","Bayesian Optimisation for Fast and Safe Parameter Tuning of SwissFEL",707,1963
"THP062","M. Ying","Analysis Cavity Coating Thermal Noise in FEL",,2142
"THP063","O.J. Luiten, T.C.H. de Raadt, J.G.H. Franssen, P.H.A. Mutsaers, D.F.J. Nijhof, B.H. Schaap","ColdLight: From Laser-Cooled Atoms to Coherent Soft X-Rays",,2025
"THP064","O.J. Luiten, P.H.A. Mutsaers, X.F.D. Stragier, T.G. Lucas","Smart*Light: A Tunable Inverse Compton Scattering (ICS) X-Ray Source for Imaging and Analysis",,2153
"THP065","D.J. Dunning, H.M. Castaneda Cortes, J.K. Jones, N. Thompson","Multi-Objective FEL Design Optimisation Using Genetic Algorithms",711,2482
"THP066","D.J. Dunning, J.K. Jones, L.S. Cowie","XARA: X-Band Accelerator for Research and Applications",715,2481
"THP068","G.E. Wiemerslage, P.K. Den Hartog, J. Qian, M. White","LCLS-II Extruded Aluminum Undulator Vacuum Chambers &mdash; New Approaches to an Improved Aperture Surface Finish",719,1321
"THP069","A.H. Lumpkin, D.W. Rule, M. Downer, M. LaBerge","Observations on Microbunching of Electrons in Laser-Driven Plasma Accelerators and Free-Electron Lasers",722,2042
"THP070","A. Scheinker, B. Beutner, W. Decking, R. Kammering, H. Schlarb, M. Scholz, I. Zagorodnov, S. Tomin, D.K. Bohler","Development of Advanced Model-Independent Tuning Methods for Maximizing Free Electron Laser Pulse Energy at the EuXFEL at DESY",,1382
"THP071","A. Halavanau, F.-J. Decker, Y. Ding, C. Emma, Z. Huang, A.K. Krasnykh, J. Krzywinski, A.A. Lutman, G. Marcus, A. Marinelli, A. Ratti, D. Zhu, C. Pellegrini","Progress in High Power High Brightness Double Bunch Self-Seeding at LCLS-II",726,2124
"THP072","J.P. MacArthur","Phase-Stable Self-Modulation of an Electron-Beam in a Magnetic Wiggler",,2160
"THP073","Y. Park, D.K. Dang, P.E. Denham, N.S. Sudar, Y. Sun, A. Zholents, R.B. Agustsson, A.Y. Murokh, T.J. Campese, I.I. Gadjev, C.C. Hall, S.D. Webb, P. Musumeci","Status Update for the High Gain High Efficiency TESSA-266 Experiment",730,1701
"THP074","K. Honkavaara, S. Schreiber","FLASH: The Pioneering XUV and Soft X-Ray FEL User Facility",734,1989
"THP076","U. Lehnert, A. Arnold, M. Chen, J.-C. Deinert, P.E. Evtushenko, B.W. Green, J.M. Klopf, S. Kovalev, S. Ma, P. Michel, J. Schaber, J. Teichert, R. Xiang","High Bunch Charge Operation of the TELBE Super-Radiant THz Source With the ELBE SRF Gun",,2447
"THP077","A. Friedman, K. Cheverdine, E. Dyunin, Yu. Lurie, A. N. Nause, A. Gover","General Design and Status of the FEL Facility in Isreal",,2151
"THP078","G. D'Auria, S. Di Mitri, R.A. Rochow, J. Marcos, E. Marin, R. Muñoz Horta, F. Perez, R. Hoekstra, R.T. Dowd, D. Zhu, A. Aksoy, Z. Nergiz, A. Latina, X. Liu, C. Rossi, W. Wuensch, D. Schulte, S. Stapnes, X.W. Wu, R. Apsimon, G. Burt, A. Castilla, G. Dattoli, F. Nguyen, A. Petralia, E. Tanke, E. Trachnas, M. Aicheler, D. Esperante Pereira, J. Fuster, D. Gonzalez-Iglesias, D. Alesini, M. Bellaveglia, B. Buonomo, F. Cardelli, M. Croia, M. Diomede, M. Ferrario, A. Gallo, L. Piersanti, J. Scifo, B. Spataro, C. Vaccarezza, A. Giribono, A. Bernhard, J. Gethmann, R. Geometrante, M. Kokole, E.N. Gazis, N. Gazis, M. Calvi, T. Schmidt, K. Zhang, W. Fang, H.M. Castaneda Cortes, J.A. Clarke, D.J. Dunning, N. Thompson, J.M. Arnesano, F. Bosco, L. Ficcadenti, A. Mostacci, L. Palumbo, O.J. Luiten, P.H.A. Mutsaers, X.F.D. Stragier, G. Taylor, A.W. Cross, L. Zhang, B. Gimeno, L.J.R. Nix, A. Faus-Golfe, Y. Han, V.A. Goryashko, M. Jacewicz, R.J.M.Y. Ruber, X.J.A. Janssen, J.M.A. Priem","Status of the CompactLight Design Study",738,2026
"THP079","L. Giannessi, E. Allaria, L. Badano, S. Bassanese, F. Bencivenga, C. Callegari, F. Capotondi, D. Castronovo, F. Cilento, P. Cinquegrana, M. Coreno, I. Cudin, M.B. Danailov, G. D'Auria, R. De Monte, G. De Ninno, P. Delgiusto, A.A. Demidovich, M. Di Fraia, S. Di Mitri, B. Diviacco, A. Fabris, R. Fabris, W.M. Fawley, M. Ferianis, L. Foglia, P. Furlan Radivo, G. Gaio, F. Gelmetti, F. Iazzourene, S. Krecic, G. Kurdi, M. Lonza, N. Mahne, M. Malvestuto, M. Manfredda, C. Masciovecchio, M. Milloch, R. Mincigrucci, N.S. Mirian, I. Nikolov, F.H. O'Shea, G. Penco, A. Perucchi, O. Plekan, M. Predonzani, K.C. Prince, E. Principi, L. Raimondi, P. Rebernik Ribic, F. Rossi, L. Rumiz, C. Scafuri, C. Serpico, N. Shafqat, P. Sigalotti, A. Simoncig, S. Spampinati, C. Spezzani, M. Svandrlik, M. Trovo, A. Vascotto, M. Veronese, R. Visintini, D. Zangrando, M. Zangrando","Status and Perspectives of the FERMI FEL Facility (2019)",742,2089
"THP080","W.Q. Zhang, X.M. Yang, D. Wang, Z.T. Zhao","The Status of Dalian Coherent Light Source and Future Plan",,2069
"THP081","K. Szamota-Leandersson, P.J. Czuma, P. Krawczyk, J. Krzywinski, R. Nietuby&#263;, M. Staszczak, J. Szewinski, J.K. Sekutowicz, W. Bal, J. Poznanski, A. Bartnik, H. Fiedorowicz, K. Janulewicz, N. Palka","PolFEL &mdash; New Facility in Poland",746,2601
